,ID,Location,SearchType,PropertyType,TITLE,AGENT_ID,AGENT_BRANCH,AGENT_NAME,AGENT_SELLER_TYPE,BATHROOMS,BEDROOMS,BER,CATEGORY,MONTHLY_PRICE,PRICE,LATITUDE,LONGITUDE,PUBLISH_DATE,BATHROOM,BEDROOM
0,5391632,Location.ABBEY_GALWAY,SearchType.RESIDENTIAL_SALE,PropertyType.BUNGALOW,"Duniry, Kylebrack, Loughrea, Co. Galway",11192,Sherry Fitzgerald Madden,Niamh Madden,BRANDED_AGENT,1 Bath,4 Bed,D2,Buy,210000,"€210,000",53.134064,-8.406501,2023-09-07 09:03:51,,
1,4625533,Location.ABBEY_GALWAY,SearchType.RESIDENTIAL_SALE,PropertyType.SITE,"Feagh, Duniry, Loughrea, Co. Galway",1216,Keary Auctioneering and Insurances,Kenneth Keary,UNBRANDED_AGENT,,,,Buy,40000,"€40,000",53.136216682280235,-8.392196750182222,2023-09-04 10:14:16,,
2,5391632,Location.ABBEY_GALWAY,SearchType.COMMERCIAL_RENT,PropertyType.BUNGALOW,"Duniry, Kylebrack, Loughrea, Co. Galway",11192,Sherry Fitzgerald Madden,Niamh Madden,BRANDED_AGENT,1 Bath,4 Bed,D2,Buy,210000,"€210,000",53.134064,-8.406501,2023-09-07 10:04:17,,
3,4625533,Location.ABBEY_GALWAY,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Feagh, Duniry, Loughrea, Co. Galway",1216,Keary Auctioneering and Insurances,Kenneth Keary,UNBRANDED_AGENT,,,,Buy,40000,"€40,000",53.136216682280235,-8.392196750182222,2023-09-04 10:14:16,,
4,5385687,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Leith East, Tralee, Co. Kerry",6843,Gary O'Driscoll & Co Ltd,Gary O'Driscoll  B.Sc. MIPAV MCEI,UNBRANDED_AGENT,5 Bath,6 Bed,B3,Buy,495000,"€495,000",52.318023,-9.647175,2023-09-07 08:18:39,,
5,5385397,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Leith East, Tralee, Co. Kerry",3961,DNG WH Giles Property Management & Sales,Daire McCann BSc Est.Mgt MIPAV,BRANDED_AGENT,5 Bath,6 Bed,B3,Buy,495000,"€495,000",52.318023,-9.647175,2023-08-23 11:43:59,,
6,5352366,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Lacka More, Tralee, Co. Kerry",3961,DNG WH Giles Property Management & Sales,Daire McCann BSc Est.Mgt MIPAV,BRANDED_AGENT,2 Bath,5 Bed,C1,Buy,335000,"€335,000",52.323491,-9.648714,2023-08-14 08:58:16,,
7,5347807,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Aghabeg Middle, Lixnaw, Co. Kerry",2690,Dillon Prendiville Auctioneers,Denise Kelliher,UNBRANDED_AGENT,2 Bath,3 Bed,G,Buy,199000,"€199,000",52.397588,-9.686527,2023-09-04 09:25:53,,
8,4627427,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Derryvrin, Abbeydorney, Co. Kerry",2690,Dillon Prendiville Auctioneers,Tom Dillon B.SC PV&M Assoc. MIPAV,UNBRANDED_AGENT,3 Bath,4 Bed,B3,Buy,342000,"€342,000",52.377594,-9.668155,2023-09-04 09:25:53,,
9,3753149,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Tubrid More, Ardfert, Co. Kerry",4335,Ger Carmody Auctioneers,Ger Carmody,UNBRANDED_AGENT,2 Bath,3 Bed,E1,Buy,220000,"€220,000",52.321348,-9.74999,2023-04-03 09:46:44,,
10,5385687,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Leith East, Tralee, Co. Kerry",6843,Gary O'Driscoll & Co Ltd,Gary O'Driscoll  B.Sc. MIPAV MCEI,UNBRANDED_AGENT,5 Bath,6 Bed,B3,Buy,495000,"€495,000",52.318023,-9.647175,2023-09-07 08:18:39,,
11,5385397,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Leith East, Tralee, Co. Kerry",3961,DNG WH Giles Property Management & Sales,Daire McCann BSc Est.Mgt MIPAV,BRANDED_AGENT,5 Bath,6 Bed,B3,Buy,495000,"€495,000",52.318023,-9.647175,2023-08-23 11:43:59,,
12,5352366,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Lacka More, Tralee, Co. Kerry",3961,DNG WH Giles Property Management & Sales,Daire McCann BSc Est.Mgt MIPAV,BRANDED_AGENT,2 Bath,5 Bed,C1,Buy,335000,"€335,000",52.323491,-9.648714,2023-08-14 08:58:16,,
13,5347807,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Aghabeg Middle, Lixnaw, Co. Kerry",2690,Dillon Prendiville Auctioneers,Denise Kelliher,UNBRANDED_AGENT,2 Bath,3 Bed,G,Buy,199000,"€199,000",52.397588,-9.686527,2023-09-04 09:25:53,,
14,4627427,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Derryvrin, Abbeydorney, Co. Kerry",2690,Dillon Prendiville Auctioneers,Tom Dillon B.SC PV&M Assoc. MIPAV,UNBRANDED_AGENT,3 Bath,4 Bed,B3,Buy,342000,"€342,000",52.377594,-9.668155,2023-09-04 09:25:53,,
15,3753149,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Tubrid More, Ardfert, Co. Kerry",4335,Ger Carmody Auctioneers,Ger Carmody,UNBRANDED_AGENT,2 Bath,3 Bed,E1,Buy,220000,"€220,000",52.321348,-9.74999,2023-04-03 09:46:44,,
16,4663370,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.BUNGALOW,"Kilgulbin, Ardfert, Co. Kerry",4335,Ger Carmody Auctioneers,Ger Carmody,UNBRANDED_AGENT,1 Bath,3 Bed,E1,Buy,190000,"€190,000",52.344444,-9.734269,2023-04-05 16:10:32,,
17,4255184,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.SITE,"Aghabeg Middle, Lixnaw, Co. Kerry",2692,Sherry FitzGerald Stephenson Crean Property Management & Sales Advisors,Hilary Stephenson – PSRA No. 002275-005434,BRANDED_AGENT,,,,Buy,35000,"€35,000",52.396785,-9.693257,2023-09-07 10:05:35,,
18,3283640,Location.ABBEYDORNEY_KERRY,SearchType.RESIDENTIAL_SALE,PropertyType.SITE,"Rathkenny, Abbeydorney, Co. Kerry",2692,Sherry FitzGerald Stephenson Crean Property Management & Sales Advisors,Paul Stephenson,BRANDED_AGENT,,,,Buy,55000,"€55,000",52.323548,-9.719825,2023-09-07 10:05:35,,
19,1191441,Location.ABBEYDORNEY_KERRY,SearchType.COMMERCIAL_SALE,PropertyType.RETAIL_UNIT,"Twomey's Tavern, Abbeydorney, Tralee, Co. Kerry",2692,Sherry FitzGerald Stephenson Crean Property Management & Sales Advisors,Paul Stephenson,BRANDED_AGENT,,,,Commercial,Price on Application,Price on Application,52.346933,-9.687716,2023-09-07 10:06:45.494000,,
20,3570599,Location.ABBEYDORNEY_KERRY,SearchType.COMMERCIAL_SALE,PropertyType.INDUSTRIAL_UNIT,"Clough, Doon, Tralee, Co. Kerry",4335,Ger Carmody Auctioneers,Ger Carmody,UNBRANDED_AGENT,,,SI_666,Commercial,200000,"€200,000",52.312256,-9.724505,2023-08-31 14:27:11.827000,,
21,5403522,Location.ABBEYDORNEY_KERRY,SearchType.COMMERCIAL_SALE,PropertyType.AGRICULTURAL_LAND,"Lackamore, Abbeydorney, Co. Kerry",4335,Ger Carmody Auctioneers,Ger Carmody,UNBRANDED_AGENT,,,SI_666,Commercial,Price on Application,Price on Application,52.3317849,-9.6602897,2023-09-05 14:48:06.844000,,
